"episode","env.name: fourrooms - _step","env.name: fourrooms - _step__MIN","env.name: fourrooms - _step__MAX","env.name: fourrooms - steps","env.name: fourrooms - steps__MIN","env.name: fourrooms - steps__MAX"
"294","89687.88235294117","62963","137888","39.666666666666664","13","380"
"295","89788.41176470589","63035","138007","40.666666666666664","15","211"
"296","89891.43137254902","63112","138088","41.745098039215684","16","228"
"297","90018.39215686274","63314","138154","52.450980392156865","13","402"
"298","90123.66666666667","63415","138273","42.80392156862745","16","287"
"299","90244.01960784313","63514","138435","49.509803921568626","16","389"
"300","90349.09803921569","63640","138527","42.705882352941174","13","112"
"301","90543.98039215687","63787","138651","82.56862745098039","13","2000"
"302","90656.56862745098","63922","139173","46.05882352941177","12","228"
"303","90750.2156862745","64014","139290","37.627450980392155","18","77"
"304","90873.13725490196","64124","139384","50.6078431372549","12","500"
"305","91009.4705882353","64205","139747","56.627450980392155","13","585"
"306","91152.43137254902","64304","139819","59.529411764705884","16","509"
"307","91285.7843137255","64453","140017","55.27450980392157","15","575"
"308","91409.33333333333","64675","140347","50.90196078431372","13","444"
"309","91524.60784313726","64815","140464","47.254901960784316","13","311"
"310","91612.25490196078","64873","140536","34.92156862745098","16","64"
"311","91710.58823529411","65022","140786","39.72549019607843","15","224"
"312","91837.90196078431","65083","140896","52.588235294117645","17","534"
"313","91957.27450980392","65222","140968","49.05882352941177","13","333"
"314","92054.58823529411","65321","141067","39.23529411764706","13","127"
"315","92150.96078431372","65420","141121","38.8235294117647","15","122"
"316","92274.4705882353","65463","141218","50.90196078431372","13","627"
"317","92374.50980392157","65627","141326","40.431372549019606","14","139"
"318","92481.54901960785","65771","141400","43.588235294117645","13","390"
"319","92567.19607843137","65924","141459","34.09803921568628","12","70"
"320","92662.96078431372","66203","141551","38.529411764705884","13","120"
"321","92770.88235294117","66295","141648","43.98039215686274","14","325"
"322","92887.72549019608","66536","141736","47.90196078431372","13","257"
"323","92976.6862745098","66669","141911","35.549019607843135","12","93"
"324","93089.60784313726","66752","141988","46.19607843137255","15","490"
"325","93212.17647058824","66878","142136","50.490196078431374","17","311"
"326","93301.7843137255","66943","142215","35.8235294117647","15","73"
"327","93394.72549019608","67038","142755","37.294117647058826","14","236"
"328","93501.80392156863","67155","142863","43.588235294117645","15","96"
"329","93582.33333333333","67200","142951","31.784313725490197","12","83"
"330","93665.33333333333","67333","143041","32.92156862745098","12","76"
"331","93748.45098039215","67382","143128","32.88235294117647","12","78"
"332","93884.17647058824","67465","143182","56.35294117647059","16","328"
"333","94017.66666666667","67549","143281","55.35294117647059","13","854"
"334","94122.6862745098","67603","143369","42.64705882352941","12","273"
"335","94236.82352941176","67695","143529","46.745098039215684","14","270"
"336","94344.43137254902","67859","143612","43.80392156862745","17","247"
"337","94469.35294117648","68122","143743","51.529411764705884","14","443"
"338","94562.09803921569","68221","143828","37.23529411764706","12","101"
"339","94652.98039215687","68278","143891","36.35294117647059","12","164"
"340","94759.13725490196","68356","144316","43.21568627450981","12","185"
"341","94884.09803921569","68471","144433","51.529411764705884","12","683"
"342","95037.1568627451","68543","144719","64.01960784313725","14","826"
"343","95127.4705882353","68611","144802","36.15686274509804","12","80"
"344","95220.58823529411","68748","144883","37.411764705882355","14","85"
"345","95322.45098039215","68815","144994","41.254901960784316","12","194"
"346","95421.54901960785","68928","145068","40.01960784313726","17","272"
"347","95507.98039215687","69047","145138","34.431372549019606","14","73"
"348","95606.09803921569","69103","145246","39.568627450980394","17","88"
"349","95692.09803921569","69205","145423","34.21568627450981","13","75"
"350","95800.50980392157","69295","145511","44.23529411764706","13","420"
"351","95917.49019607843","69346","145662","47.94117647058823","12","317"
"352","96015.50980392157","69443","145790","39.588235294117645","12","277"
"353","96103.09803921569","69520","145925","34.90196078431372","14","188"
"354","96208.92156862745","69580","146060","43.03921568627451","16","261"
"355","96306.25490196078","69691","146166","39.27450980392157","19","254"
"356","96416.13725490196","69745","146321","44.84313725490196","15","383"
"357","96503.45098039215","69794","146389","34.8235294117647","15","73"
"358","96603.8431372549","69859","146512","40.627450980392155","14","150"
"359","96723.2156862745","69994","146602","49.03921568627451","14","516"
"360","96831.33333333333","70082","146665","44.05882352941177","18","334"
"361","96948.39215686274","70127","146744","48","15","646"
"362","97031.3137254902","70231","146825","32.86274509803921","17","86"
"363","97147.8431372549","70318","146969","47.80392156862745","13","486"
"364","97239.19607843137","70393","147030","36.568627450980394","16","96"
"365","97335.35294117648","70458","147102","38.72549019607843","12","207"
"366","97435.98039215687","70528","147169","40.745098039215684","16","186"
"367","97575.45098039215","70602","147442","57.98039215686274","14","905"
"368","97732.58823529411","70663","149559","65.82352941176471","12","937"
"369","97875.3137254902","70708","149615","59.470588235294116","16","716"
"370","98006.35294117648","70786","150427","54.23529411764706","12","430"
"371","98095.82352941176","70840","150490","35.78431372549019","13","100"
"372","98190.54901960785","70901","150621","38.09803921568628","15","200"
"373","98295.70588235294","70980","150668","42.72549019607843","15","311"
"374","98386.07843137255","71097","150742","36.15686274509804","14","83"
"375","98478.94117647059","71164","150992","37.27450980392157","14","210"
"376","98577.96078431372","71232","151062","40.01960784313726","18","325"
"377","98676.5294117647","71311","151163","39.78431372549019","15","222"
"378","98774.07843137255","71576","151233","39.372549019607845","17","114"
"379","98859.72549019608","71623","151348","34.07843137254902","14","76"
"380","98941.74509803922","71680","151498","32.450980392156865","12","80"
"381","99038.35294117648","71752","151593","38.94117647058823","13","443"
"382","99122.94117647059","71817","151723","33.568627450980394","12","79"
"383","99217.72549019608","71941","151786","38.13725490196079","14","268"
"384","99305.23529411765","72010","151838","34.92156862745098","15","73"
"385","99394.56862745098","72103","151928","35.68627450980392","14","243"
"386","99530.05882352941","72150","152036","56.21568627450981","17","337"
"387","99623.37254901961","72238","152221","37.450980392156865","14","126"
"388","99705.05882352941","72301","152320","32.333333333333336","12","102"
"389","99802.17647058824","72361","152450","39.15686274509804","16","301"
"390","99908.54901960785","72460","152558","43.254901960784316","14","229"
"391","100007.62745098039","72519","152684","40.03921568627451","14","190"
"392","100085.2156862745","72564","152731","30.50980392156863","14","68"
"393","100211.11764705883","72676","152837","51.94117647058823","13","356"
"394","100306.54901960785","72845","153013","38.411764705882355","15","220"
"395","100394.92156862745","72910","153139","35.254901960784316","13","135"
"396","100477.27450980392","72958","153231","32.627450980392155","12","67"
"397","100562.72549019608","73009","153334","33.96078431372549","15","86"
"398","100646.8431372549","73106","153440","33.3921568627451","12","87"
"399","100749.88235294117","73167","153499","41.80392156862745","13","464"
"400","100837.17647058824","73221","153652","34.78431372549019","13","74"
"401","100926.23529411765","73311","153800","35.588235294117645","17","184"
"402","101024.54901960785","73426","153991","39.705882352941174","14","150"
"403","101105.98039215687","73484","154048","32.15686274509804","14","120"
"404","101191.25490196078","73529","154178","33.94117647058823","13","163"
"405","101303.70588235294","73603","154237","45.96078431372549","13","329"
"406","101384.11764705883","73662","154394","31.745098039215687","13","82"
"407","101469.66666666667","73705","154504","34.03921568627451","14","261"
"408","101565.86274509804","73777","154628","38.705882352941174","13","275"
"409","101658.86274509804","73833","154729","37.35294117647059","16","227"
"410","101749.09803921569","73898","154887","36.11764705882353","17","140"
"411","101830.98039215687","73966","154959","32.411764705882355","13","103"
"412","101911.72549019608","74013","155112","31.88235294117647","12","72"
"413","102016.54901960785","74076","155206","42.6078431372549","16","301"
"414","102095.90196078431","74170","155247","31.235294117647058","14","70"
"415","102185.60784313726","74231","155407","35.86274509803921","13","194"
"416","102275.66666666667","74267","155589","36.03921568627451","12","121"
"417","102364.09803921569","74328","155719","35.31372549019608","18","103"
"418","102488.37254901961","74402","157051","51.21568627450981","12","588"
"419","102572.80392156863","74467","157191","33.529411764705884","14","81"
"420","102654.76470588235","74555","157346","32.431372549019606","17","74"
"421","102728.72549019608","74593","157429","28.862745098039216","13","58"
"422","102833.33333333333","74672","157517","42.490196078431374","12","383"
"423","102912.56862745098","74740","157598","31.215686274509803","12","56"
"424","103002.09803921569","74823","157663","35.80392156862745","13","103"
"425","103079.54901960785","74881","157747","30.41176470588235","14","73"
"426","103182","74953","157828","41.529411764705884","12","367"
"427","103279.70588235294","75030","158077","39.3921568627451","13","199"
"428","103366.58823529411","75075","158170","34.64705882352941","12","249"
"429","103451.54901960785","75151","158311","33.76470588235294","14","103"
"430","103539.94117647059","75214","158408","35.27450980392157","15","318"
"431","103640.37254901961","75322","158503","40.64705882352941","16","348"
"432","103732.58823529411","75390","158602","36.98039215686274","13","274"
"433","103813.41176470589","75534","158721","31.92156862745098","12","68"
"434","103895.64705882352","75581","158822","32.529411764705884","16","88"
"435","103976.37254901961","75640","158905","31.901960784313726","15","101"
"436","104053.2156862745","75730","158977","30.137254901960784","13","73"
"437","104123.1568627451","75808","159070","27.07843137254902","13","65"
"438","104206.56862745098","75849","159189","33.07843137254902","14","149"
"439","104286.43137254902","75955","159270","31.470588235294116","14","91"
"440","104410.6862745098","76013","159351","51.254901960784316","14","798"
"441","104490.70588235294","76069","159472","31.607843137254903","14","65"
"442","104584.49019607843","76126","159560","37.666666666666664","16","393"
"443","104672.56862745098","76263","159632","35.09803921568628","13","239"
"444","104761.29411764706","76328","159695","35.450980392156865","12","339"
